to_project_name,grant_pool_name,from_project_name,f0_
heyxyz,GG-14,gitcoin,124265.75565639997
leastauthority,GG-14,gitcoin,20089.467551800855
giveth,GG-14,gitcoin,21764.837796502605
sourcify-ethereum,GG-14,gitcoin,8329.5096958784434
ethers-io,GG-15,gitcoin,87324.360767517937
wevm,GG-15,gitcoin,28471.217185549544
protocol-guild,GG-15,gitcoin,30603.655467227465
apeworx,GG-15,gitcoin,314.33536927623607
loanshark,GG-15,gitcoin,55954.109877277631
radicalxchange,GG-15,gitcoin,725.71971349153739
4everland,GG-15,gitcoin,12941.863314998242
crowdfundedcures,GG-15,gitcoin,10370.940970954571
,GG-17 - 0x12bb5bbbfe596dbc489d209299b8302c3300fa40,gitcoin,7430.5587403550744
tproof,GG-17 - 0x12bb5bbbfe596dbc489d209299b8302c3300fa40,gitcoin,170.40833554416895
punk-domains,GG-17 - 0x12bb5bbbfe596dbc489d209299b8302c3300fa40,gitcoin,2341.8395924717188
zeroknowledgefm,GG-17 - 0x274554eb289004e15a7679123901b7f070dda0fa,gitcoin,1698.8207385884598
notarizedscreenshot,GG-17 - 0x64e5b2228ef31437909900b38fc42dd5e4b83147,gitcoin,234.84942829608917
,GG-17 - 0xaa40e2e5c8df03d792a52b5458959c320f86ca18,gitcoin,35637.370611213148
stereum-dev,GG-17 - 0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,gitcoin,443.53671461343765
iron-wallet,GG-18 - 0x222ea76664ed77d18d4416d2b2e77937b76f0a35,gitcoin,26385.485666343851
